"FISHING_GROUND_CODE","DESCRIPTION_EN","DESCRIPTION_FR","AREA_TYPE_CODE"
"5207091","07° - 08°S; 091° - 092°E","07° - 08°S; 091° - 092°E","GRID01x01"
"5207092","07° - 08°S; 092° - 093°E","07° - 08°S; 092° - 093°E","GRID01x01"
"5207093","07° - 08°S; 093° - 094°E","07° - 08°S; 093° - 094°E","GRID01x01"
"5207094","07° - 08°S; 094° - 095°E","07° - 08°S; 094° - 095°E","GRID01x01"
"5207095","07° - 08°S; 095° - 096°E","07° - 08°S; 095° - 096°E","GRID01x01"
"5207096","07° - 08°S; 096° - 097°E","07° - 08°S; 096° - 097°E","GRID01x01"
"5207097","07° - 08°S; 097° - 098°E","07° - 08°S; 097° - 098°E","GRID01x01"
"5207098","07° - 08°S; 098° - 099°E","07° - 08°S; 098° - 099°E","GRID01x01"
"5207099","07° - 08°S; 099° - 100°E","07° - 08°S; 099° - 100°E","GRID01x01"
"5207105","07° - 08°S; 105° - 106°E","07° - 08°S; 105° - 106°E","GRID01x01"
"5207106","07° - 08°S; 106° - 107°E","07° - 08°S; 106° - 107°E","GRID01x01"
"5207107","07° - 08°S; 107° - 108°E","07° - 08°S; 107° - 108°E","GRID01x01"
"5207109","07° - 08°S; 109° - 110°E","07° - 08°S; 109° - 110°E","GRID01x01"
"5208040","08° - 09°S; 040° - 041°E","08° - 09°S; 040° - 041°E","GRID01x01"
"5208041","08° - 09°S; 041° - 042°E","08° - 09°S; 041° - 042°E","GRID01x01"
"5208042","08° - 09°S; 042° - 043°E","08° - 09°S; 042° - 043°E","GRID01x01"
"5208043","08° - 09°S; 043° - 044°E","08° - 09°S; 043° - 044°E","GRID01x01"
"5208044","08° - 09°S; 044° - 045°E","08° - 09°S; 044° - 045°E","GRID01x01"
"5208045","08° - 09°S; 045° - 046°E","08° - 09°S; 045° - 046°E","GRID01x01"
"5208046","08° - 09°S; 046° - 047°E","08° - 09°S; 046° - 047°E","GRID01x01"
"5208047","08° - 09°S; 047° - 048°E","08° - 09°S; 047° - 048°E","GRID01x01"
"5208048","08° - 09°S; 048° - 049°E","08° - 09°S; 048° - 049°E","GRID01x01"
"5208049","08° - 09°S; 049° - 050°E","08° - 09°S; 049° - 050°E","GRID01x01"
"5208050","08° - 09°S; 050° - 051°E","08° - 09°S; 050° - 051°E","GRID01x01"
"5208051","08° - 09°S; 051° - 052°E","08° - 09°S; 051° - 052°E","GRID01x01"
"5208052","08° - 09°S; 052° - 053°E","08° - 09°S; 052° - 053°E","GRID01x01"
"5208053","08° - 09°S; 053° - 054°E","08° - 09°S; 053° - 054°E","GRID01x01"
"5208054","08° - 09°S; 054° - 055°E","08° - 09°S; 054° - 055°E","GRID01x01"
"5208055","08° - 09°S; 055° - 056°E","08° - 09°S; 055° - 056°E","GRID01x01"
"5208056","08° - 09°S; 056° - 057°E","08° - 09°S; 056° - 057°E","GRID01x01"
"5208057","08° - 09°S; 057° - 058°E","08° - 09°S; 057° - 058°E","GRID01x01"
"5208058","08° - 09°S; 058° - 059°E","08° - 09°S; 058° - 059°E","GRID01x01"
"5208059","08° - 09°S; 059° - 060°E","08° - 09°S; 059° - 060°E","GRID01x01"
"5208060","08° - 09°S; 060° - 061°E","08° - 09°S; 060° - 061°E","GRID01x01"
"5208061","08° - 09°S; 061° - 062°E","08° - 09°S; 061° - 062°E","GRID01x01"
"5208062","08° - 09°S; 062° - 063°E","08° - 09°S; 062° - 063°E","GRID01x01"
"5208063","08° - 09°S; 063° - 064°E","08° - 09°S; 063° - 064°E","GRID01x01"
"5208064","08° - 09°S; 064° - 065°E","08° - 09°S; 064° - 065°E","GRID01x01"
"5208065","08° - 09°S; 065° - 066°E","08° - 09°S; 065° - 066°E","GRID01x01"
"5208066","08° - 09°S; 066° - 067°E","08° - 09°S; 066° - 067°E","GRID01x01"
"5208067","08° - 09°S; 067° - 068°E","08° - 09°S; 067° - 068°E","GRID01x01"
"5208068","08° - 09°S; 068° - 069°E","08° - 09°S; 068° - 069°E","GRID01x01"
"5208069","08° - 09°S; 069° - 070°E","08° - 09°S; 069° - 070°E","GRID01x01"
"5208073","08° - 09°S; 073° - 074°E","08° - 09°S; 073° - 074°E","GRID01x01"
