FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A1,A2,A3,A4
EUREU,LLCO,UNCL,LL,A1,,,
EUREU,TROL,UNCL,OT,A1,,,
GBR,ELL,UNCL,LL,A1,A2,A3,A4
GBR,LLOB,UNCL,LL,,,A3,
GIN,ELL,UNCL,LL,A1,A2,A3,A4
IDN,DSEI,UNCL,OT,,A2,,
IDN,FLL,UNCL,LL,,A2,,A4
IDN,GILL,UNCL,OT,,A2,,
IDN,HAND,UNCL,OT,,A2,,
IDN,HLOF,UNCL,OT,,A2,,
IDN,LIFT,UNCL,OT,,A2,,
IDN,LL,UNCL,LL,,A2,,A4
IDN,LLCO,UNCL,LL,,A2,,A4
IDN,PS,LS,PS,,A2,,
IDN,PSS,UNCL,OT,,A2,,
IDN,TROL,UNCL,OT,,A2,,
IND,FLL,UNCL,LL,A1,A2,A3,A4
IND,LL,UNCL,LL,A1,A2,A3,A4
IRN,GILL,UNCL,OT,A1,,,
IRN,PS,FS,PS,A1,,,
IRN,PS,LS,PS,A1,,,
IRN,PS,UNCL,PS,A1,,,
JOR,GILL,UNCL,OT,A1,,,
JOR,HAND,UNCL,OT,A1,,,
JOR,LLCO,UNCL,LL,A1,,,
JOR,PSS,UNCL,OT,A1,,,
JOR,SPOR,UNCL,OT,A1,,,
JOR,TROL,UNCL,OT,A1,,,
JPN,LL,UNCL,LL,A1,A2,A3,A4
JPN,LLOB,UNCL,LL,A1,A2,A3,A4
JPN,PS,LS,PS,,A2,,
JPN,PS,UNCL,PS,,A2,,
JPN,PSOB,UNCL,PS,A1,A2,,
KEN,ELL,UNCL,LL,A1,A2,A3,A4
KOR,LL,UNCL,LL,A1,A2,A3,A4
KOR,LLOB,UNCL,LL,A1,,A3,A4
KOR,PS,FS,PS,A1,,,
KOR,PS,LS,PS,A1,A2,,
KOR,PS,UNCL,PS,A1,A2,,
KOR,PSOB,UNCL,PS,A1,,,
LKA,FLL,UNCL,LL,A1,A2,,
LKA,GIOF,UNCL,OT,A1,A2,,
LKA,HAND,UNCL,OT,,A2,,
LKA,LLCO,UNCL,LL,,A2,,
LKA,RIN,UNCL,OT,,A2,,
LKA,RNOF,UNCL,OT,A1,A2,,
LKA,UNCL,UNCL,OT,,A2,,
MDG,ELL,UNCL,LL,A1,,,
MDG,LL,UNCL,LL,A1,A2,A3,A4
MDV,BB,UNCL,OT,A1,,,
MDV,BBOF,FS,OT,A1,,,
MDV,BBOF,LA,OT,A1,,,
MDV,BBOF,UNCL,OT,A1,,,
MDV,FLL,UNCL,LL,A1,A2,A3,A4
MDV,LL,UNCL,LL,A1,A2,,
MDV,LLCO,UNCL,LL,A1,A2,,
MDV,UNCL,UNCL,OT,A1,,,
MOZ,BS,UNCL,OT,A1,,A3,
MOZ,ELL,UNCL,LL,A1,A2,A3,A4
MOZ,FLL,UNCL,LL,A1,,A3,
MOZ,GILL,UNCL,OT,A1,,A3,
MOZ,HAND,UNCL,OT,A1,,A3,
MOZ,PSS,UNCL,OT,A1,,,
MOZ,SPOR,UNCL,OT,,,A3,
MOZ,TROL,UNCL,OT,A1,,A3,
MUS,ELL,UNCL,LL,A1,A2,A3,A4
MUS,FLL,UNCL,LL,A1,,A3,
MUS,HATR,UNCL,OT,A1,,,
MUS,HAND,UNCL,OT,A1,,,
MUS,LL,UNCL,LL,A1,A2,A3,A4
MUS,LLCO,UNCL,LL,A1,,,
MUS,PS,FS,PS,A1,A2,,
MUS,PS,LS,PS,A1,A2,,
MUS,PSOB,UNCL,PS,A1,A2,,
MUS,SPOR,UNCL,OT,A1,,,
MUS,TROL,UNCL,OT,A1,,,
MYS,FLL,UNCL,LL,A1,A2,A3,A4
NEICE,FLL,UNCL,LL,A1,A2,A3,A4
NEIDN,FLL,UNCL,LL,,A2,,A4
NEIFR,ELL,UNCL,LL,A1,A2,A3,A4
NEIFR,LL,UNCL,LL,A1,A2,A3,A4
NEIPS,PS,FS,PS,A1,A2,,
NEIPS,PS,LS,PS,A1,A2,,
NEISU,PS,FS,PS,A1,A2,,
NEISU,PS,LS,PS,A1,A2,,
OMN,LL,UNCL,LL,A1,A2,A3,A4
PHL,LL,UNCL,LL,A1,A2,A3,A4
QAT,GILL,UNCL,OT,A1,,,
