FLEET_CODE,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY_CODE,REGION
SEN,ELL,UNCL,LL,
SUN,GILL,UNCL,OT,
SUN,LL,UNCL,LL,
SUN,PS,FS,FS,
SUN,PS,LS,LS,
SUN,PSS,UNCL,OT,
SYC,ELL,UNCL,LL,
SYC,FLL,UNCL,LF,
SYC,HAND,UNCL,HD,
SYC,LL,UNCL,LL,
SYC,LLCO,UNCL,LF,
SYC,PS,FS,FS,
SYC,PS,LS,LS,
SYC,PS,UNCL,LS,
SYC,TROL,UNCL,TR,
THA,FLL,UNCL,LF,
THA,LL,UNCL,LL,
THA,PS,FS,FS,
THA,PS,LS,LS,
THA,PSS,UNCL,OT,
TMP,GILL,UNCL,GI,
TMP,HAND,UNCL,HD,
TMP,TROL,UNCL,TR,
TWN,FLL,UNCL,LF,
TWN,GILL,UNCL,GI,
TWN,LL,UNCL,LL,
TWN,LLOB,UNCL,LL,
TZA,BB,UNCL,BB,
TZA,FLL,UNCL,LF,
TZA,GILL,UNCL,GI,
TZA,HAND,UNCL,HD,
TZA,LL,UNCL,LL,
TZA,LLCO,UNCL,LF,
TZA,PS,FS,FS,
TZA,PS,LS,LS,
TZA,PSS,UNCL,OT,
TZA,RIN,UNCL,OT,
TZA,TROL,UNCL,TR,
VUT,FLL,UNCL,LF,
YEM,GILL,UNCL,GI,
YEM,HAND,UNCL,HD,
YEM,TROL,UNCL,TR,
ZAF,ELL,UNCL,LL,
ZAF,GILL,UNCL,GI,
ZAF,LL,UNCL,LL,
ZAF,SLL,UNCL,LL,
ZAF,SPOR,UNCL,OT,
ZAF,TROL,UNCL,TR,
