FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A0.1,A0.2,A1,A2,A3.1,A3.2,A3.3,A0.3,A0.4,A0.5
JOR,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
JPN,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
JPN,LLOB,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
JPN,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
JPN,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
JPN,PS,UNCL,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
JPN,PSOB,UNCL,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
KEN,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
KEN,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
KEN,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
KEN,SPOR,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
KOR,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
KOR,LLOB,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
KOR,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
KOR,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
KOR,PS,UNCL,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
KOR,PSOB,UNCL,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
LKA,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
LKA,G/L,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
LKA,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
LKA,GIOF,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
LKA,GL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
LKA,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
LKA,HATR,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
LKA,HLOF,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
LKA,LG,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
LKA,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
LKA,LLCO,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
LKA,RIN,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
LKA,RNOF,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
LKA,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
LKA,UNCL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MDG,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
MDG,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
MDG,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MDV,BB,FS,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BB,LA,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
